language	category	group	label	signals	safety_context	text
Hindi	educational	hi-profit	safe		true	कोई भी निवेश पूरी तरह जोखिम रहित नहीं होता; तय मुनाफे का दावा सच मान लेना ठीक नहीं है।
Hindi	credentials	hi-password	scam	CREDENTIAL_REQUEST	false	आपके ईमेल की मरम्मत के लिए रोज इस्तेमाल होने वाला पासवर्ड इसी बातचीत में लिख दें।
Hindi	benign_support	hi-password	safe		false	ईमेल का पासवर्ड भूल गए हैं तो परिचित वेबसाइट पर खुद रीसेट करें, मुझे बताने की जरूरत नहीं है।
Tamil	otp_request	ta-digits	scam	OTP_REQUEST	false	உங்கள் கைப்பேசியில் இப்போது வந்த ஆறு இலக்கங்களை இந்த அழைப்பில் எனக்குச் சொல்லுங்கள்.
Tamil	safety	ta-digits	safe		true	கைப்பேசியில் வரும் ரகசிய இலக்கங்களை அழைப்பில் யாரிடமும் சொல்லாதீர்கள்.
Tamil	remote_access	ta-permission	scam	REMOTE_ACCESS	false	உதவி செயலியைத் திறந்து உங்கள் கைப்பேசியை நான் இயக்க அனுமதி கொடுங்கள், வங்கி செயலியை மூடாதீர்கள்.
Tamil	safety	ta-permission	safe		true	அறிமுகமில்லாத நபருக்கு உங்கள் கைப்பேசியை இயக்கும் அனுமதி கொடுக்க வேண்டாம்.
Tamil	payment_request	ta-upi	scam	PAYMENT_REQUEST	false	பணம் பெறுவதற்கு முதலில் இந்த யூபிஐ கோரிக்கையில் பணம் செலுத்தி உங்கள் பின் எண்ணை இடுங்கள்.
Tamil	educational	ta-upi	safe		true	பணம் பெறுவதற்காக பணம் அனுப்பச் சொல்வது சந்தேகமானது; பெறுபவரின் விவரங்களைச் சரிபாருங்கள்.
Tamil	job_scam	ta-job	scam	PAYMENT_REQUEST	false	நேர்முகத் தேர்வு தேவையில்லை, வேலை உறுதி; நியமனக் கடிதத்துக்கு முன் என் தனிப்பட்ட கணக்கில் கட்டணம் அனுப்புங்கள்.
Tamil	ordinary	ta-job	safe		false	நாளைய நேர்முகத் தேர்வுக்காக என் சான்றிதழ்களை ஒரு கோப்பில் வைத்துள்ளேன்.
Tamil	credentials	ta-mail	scam	CREDENTIAL_REQUEST	false	உங்கள் மின்னஞ்சலை சரிசெய்ய நீங்கள் பயன்படுத்தும் கடவுச்சொல்லை இந்த உரையாடலில் அனுப்புங்கள்.
Tamil	safety	ta-mail	safe		true	மின்னஞ்சல் கடவுச்சொல்லை உதவி செய்பவர் என்று கூறுபவரிடமும் பகிர வேண்டாம்.
Tamil	investment_scam	ta-profit	scam	INVESTMENT_PROMISE	false	எங்கள் முதலீட்டில் இழப்பே இல்லை, ஒரு மாதத்தில் உங்கள் சேமிப்பு நான்கு மடங்காகும்.
Tamil	educational	ta-profit	safe		true	நிச்சய லாபம் என்று விளம்பரம் செய்தாலும் முதலீட்டில் இழப்பு வரலாம் என்பதை நினைவில் கொள்ளுங்கள்.
Hinglish	otp_request	hl-digits	scam	OTP_REQUEST	false	Phone pe jo chhe ank abhi aaye na, call mat kaatna, ek ek karke mujhe suna do.
Hinglish	safety	hl-digits	safe		true	Call pe koi chhe ank maange toh mat bolna, asli bank hone ka daawa kare tab bhi nahi.
Hinglish	remote_access	hl-control	scam	REMOTE_ACCESS	false	Help waali app chalao aur mujhe poora control de do, phir banking kholna.
Hinglish	benign_support	hl-control	safe		false	Settings ka raasta bata deta hoon, phone ka control tumhare paas hi rehne do.
Hinglish	payment_request	hl-refund	scam	PAYMENT_REQUEST	false	Refund lene ke liye pehle collect request accept karke apna UPI PIN daalo.
Hinglish	safety	hl-refund	safe		true	Refund ke liye debit approve karne ki zaroorat nahi, pehle receiver ka naam dekho.
Hinglish	job_scam	hl-job	scam	PAYMENT_REQUEST	false	Interview skip ho jayega bas registration ke paise mere personal wallet mein bhej do.
Hinglish	ordinary	hl-job	safe		false	Interview ke baad chai pe milte hain, documents ka folder saath le aana.
Tanglish	otp_request	tl-digits	scam	OTP_REQUEST	false	Phone la ippo vandha aaru number ah enakku ovvonna sollunga, call cut panna vendam.
Tanglish	safety	tl-digits	safe		true	Yaar call pannalum login number solladheenga, bank nu sonnaalum share panna koodadhu.
Tanglish	remote_access	tl-control	scam	REMOTE_ACCESS	false	Support app open panni phone control enakku allow pannunga, bank app um open pannunga.
Tanglish	benign_support	tl-control	safe		false	Settings enga irukku nu solluren, neengale maathunga, phone access enakku thevai illai.
Tanglish	payment_request	tl-refund	scam	PAYMENT_REQUEST	false	Refund vara indha collect request accept panni UPI PIN podunga, debit aana apram credit varum.
Tanglish	safety	tl-refund	safe		true	Refund receive panna outgoing payment approve panna thevai illai, receiver yaarunu paarunga.
Tanglish	job_scam	tl-job	scam	PAYMENT_REQUEST	false	Interview illama job confirm, offer letter venumna en personal account ku joining fee anuppunga.
Tanglish	ordinary	tl-job	safe		false	Naalaikku interview mudinju lunch polaam, certificate folder marakkadheenga.
Mixed Hindi-English	otp_request	mh-digits	scam	OTP_REQUEST	false	Verification complete करने के लिए SMS वाले six digits इस chat में लिखिए, agent इंतजार कर रहा है।
Mixed Hindi-English	safety	mh-digits	safe		true	SMS वाले secret digits किसी agent को नहीं देने हैं, use them only in your own login.
Mixed Hindi-English	payment_request	mh-pay	scam	PAYMENT_REQUEST	false	Salary release के लिए पहले personal wallet में processing fee भेजें, otherwise payout रुक जाएगा।
Mixed Hindi-English	ordinary	mh-pay	safe		false	Salary statement तैयार है, usual employee portal में जाकर download कर सकते हैं।
Mixed Hindi-English	credentials	mh-secret	scam	CREDENTIAL_REQUEST	false	Mailbox ठीक करने के लिए अपना real password support chat में paste कर दीजिए।
Mixed Hindi-English	safety	mh-secret	safe		true	Real password support chat में paste मत कीजिए, reset it yourself through the saved portal.
Mixed Tamil-English	otp_request	mt-digits	scam	OTP_REQUEST	false	Verification முடிக்க SMS வந்த six digits இந்த chat ல சொல்லுங்க, நான் login செய்து தருகிறேன்.
Mixed Tamil-English	safety	mt-digits	safe		true	SMS secret digits யாரிடமும் சொல்ல வேண்டாம், enter them only in the login you started.
Mixed Tamil-English	payment_request	mt-pay	scam	PAYMENT_REQUEST	false	Salary release ஆக personal wallet க்கு processing fee அனுப்பணும், இல்லனா payout நிறுத்தப்படும்.
Mixed Tamil-English	ordinary	mt-pay	safe		false	Salary statement தயாராக உள்ளது, usual employee portal ல download செய்யலாம்.
Mixed Tamil-English	credentials	mt-secret	scam	CREDENTIAL_REQUEST	false	Mailbox சரிசெய்ய உங்கள் real password இந்த support chat ல paste பண்ணுங்க.
Mixed Tamil-English	safety	mt-secret	safe		true	Real password support chat ல போடாதீங்க, saved portal மூலம் நீங்களே reset செய்யுங்கள்.
