language	category	group	signals	implicit	scam	safe
Tamil	government	r-fine-prepaid	GOVERNMENT_IMPERSONATION,PAYMENT_REQUEST,URGENCY	false	சாலை அபராதப் பிரிவு இது. வழக்கு வராமல் இருக்க உடனே prepaid voucher வாங்கி அதன் எண்ணை எனக்கு அனுப்புங்க.	சாலை அபராதத்தை prepaid voucher மூலம் அந்நியரிடம் செலுத்த வேண்டாம். அதிகாரப்பூர்வ அபராத விவரத்தை நீங்களே சரிபார்க்கவும்.
Tamil	investment	r-guaranteed-weekly	INVESTMENT_PROMISE,PAYMENT_REQUEST	false	எங்கள் திட்டத்தில் வாரம் தவறாமல் லாபம் உறுதி. இழப்பு வந்தால் நாங்களே பொறுப்பு; உங்கள் சேமிப்பை என் account க்கு மாற்றுங்க.	வாரம் தவறாமல் லாபம் உறுதி என்ற வாக்குறுதியை மட்டும் நம்பி சேமிப்பை மாற்ற வேண்டாம். முதலீட்டில் இழப்பு இருக்கலாம்.
Tamil	investment	r-trading-club	INVESTMENT_PROMISE,PAYMENT_REQUEST	false	Trading club ல சேர பணம் கட்டுங்க. விலை குறைந்தாலும் உங்கள் வருமானம் குறையாது; இது முழுக்க guaranteed plan.	Trading club guaranteed plan என்று விளம்பரம் செய்தாலும் விலை மாறும் ஆபத்து நீங்காது. இது முதலீட்டு விழிப்புணர்வு அறிவிப்பு.
Tamil	credential	r-phone-pin	CREDENTIAL_REQUEST	true	மொபைல் சரி செய்ய screen lock ரகசிய எண்ணை chat ல சொல்லுங்க. உங்கள் device ஐ நான் திறந்து எல்லாவற்றையும் பார்க்கணும்.	மொபைல் சரி செய்யக் கொடுக்கும் முன் தேவையான தகவலை backup எடுங்க. Screen lock ரகசிய எண்ணை அறிமுகமில்லாத chat ல அனுப்ப வேண்டாம்.
Tamil	credential	r-recovery-words	CREDENTIAL_REQUEST	true	Account மீட்க நீங்கள் சேமித்த secret recovery words தேவை. முழுப் பட்டியலை எனக்கு அனுப்புங்க; நான் உள்ளே போகிறேன்.	Secret recovery words முழுப் பட்டியலையும் உதவியாளருக்கு அனுப்ப வேண்டாம். உங்கள் கணக்கை மீட்க அவற்றை நீங்களே பயன்படுத்துங்கள்.
Tamil	ordinary_support	r-router-id	CREDENTIAL_REQUEST	false	Router reset உதவிக்கு உங்கள் இணைய வங்கிக் கடவுச்சொல்லையும் அனுப்புங்க. அதை வைத்து எங்கள் தொழில்நுட்ப குழு சோதிக்கும்.	Router உதவிக்கு கீழே அச்சிட்ட model number மட்டும் சொல்லுங்க. வங்கிக் கடவுச்சொல் இந்தச் சோதனைக்குத் தேவையில்லை.
Tamil	benign_verification	r-login-notice	OTP_REQUEST	false	உங்கள் login OTP வந்திருக்கும். இந்த அறிவிப்பிற்கு reply செய்து அதை அனுப்பினால் நாங்கள் உங்கள் login ஐ முடிப்போம்.	நீங்கள் கேட்ட login OTP வந்துள்ளது. உங்கள் app ல மட்டும் உள்ளிடுங்கள்; இந்த அறிவிப்பிற்கு reply செய்ய வேண்டாம்.
Tanglish	implicit_otp	r-event-registration	OTP_REQUEST	true	Event entry naan phone la panren. Unakku vandha one time login number ah voice msg la anuppu, en screen la podanum.	Event help kettaalum one time login number voice msg la anuppadha. Un screen la neeye podu.
Tanglish	implicit_otp	r-device-approval	OTP_REQUEST	true	Pudhu device add panren pa. Approval digits phone la theriyum, adha mattum sollu; password laam kekkala.	Approval digits kudutha pudhu device login aagalam. Password kekkala nu nenachu andha digits sollidadha.
Tanglish	otp	r-card-upgrade	OTP_REQUEST,BANK_IMPERSONATION	false	Bank card upgrade team nga. OTP ah inga type pannunga, unga account ulla poi naan change panren.	Bank card upgrade team nu sonnalum OTP type panna vendam. App la neenga update pannikkalaam.
Tanglish	contradiction	r-known-helper	OTP_REQUEST	true	Veli aalukku code kudukka koodadhu. Naan pazhaya helper dhaane, login number enakku mattum msg pannu.	Pazhaya helper ah irundhaalum login number msg panna koodadhu. Therinjavanga nu secret kudukka vendam.
Tanglish	remote_access	r-browser-control	REMOTE_ACCESS	true	Browser la remote session varum, accept pannu. Mouse control enakku kudutha un computer naan inga irundhe use panren.	Yaaro anuppuna browser remote session reject pannalaam. Theriyadha aalukku mouse control kudukka vendam.
Tanglish	remote_access	r-remote-passphrase	REMOTE_ACCESS	true	Remote app session password sollunga. Unga screen ah en side la irundhu operate panni check pannanum.	Remote app password kudutha screen operate panna mudiyum. Neenga koopdatha support aalukku solla vendam.
Tanglish	payment	r-collect-cancellation	PAYMENT_REQUEST	false	Wrong collect request cancel panna Pay press panni PIN podu. Amount ponaalum udane return aagidum.	Collect request cancel panna Pay press panna thevai illa. Reject pannunga; PIN pottu debit approve panna vendam.
Tanglish	payment	r-seller-test-charge	PAYMENT_REQUEST	false	Seller amount release panna test debit venum. Naan anuppuna request accept panni kaasu anuppu appuram credit varum.	Seller payment receive panna test debit thevaiye illa. Credit nu solli unkitte kaasu anuppa ketta stop pannu.
Tanglish	kyc	r-kyc-camera-code	IDENTITY_VERIFICATION,OTP_REQUEST	true	KYC video check ku authentication code paper la ezhuthi camera la kaattunga. En form la naan adha enter panren.	KYC video la authentication code paper la kaatta vendam. Document kaatradhum login secret kaatradhum onnu illa.
Tanglish	phishing	r-staff-salary	LINK_REQUEST,CREDENTIAL_REQUEST	false	Salary details unlock panna https://staff-entry.example la office password podunga. Help team unga login use pannuvaanga.	Pudhu salary link la office password poda vendam. Regular employee portal la payslip paarkalaam.
Tanglish	government	r-fine-prepaid	GOVERNMENT_IMPERSONATION,PAYMENT_REQUEST,URGENCY	false	Traffic fine department nga. Case aagama irukka prepaid voucher vaangi adhu number ah ipove enakku anuppunga.	Traffic fine ku yaaro prepaid voucher ketta anuppa vendam. Official fine notice ah neenga check pannunga.
Tanglish	investment	r-guaranteed-weekly	INVESTMENT_PROMISE,PAYMENT_REQUEST	false	Vaaram vaaram profit miss aagadhu. Loss vandha naanga poruppu, savings ah en account ku maathunga.	Vaaram vaaram profit guarantee nu sonna mattum namba mudiyadhu. Savings maatharadhukku munnaadi risk ah yosikka vendum.
Tanglish	investment	r-trading-club	INVESTMENT_PROMISE,PAYMENT_REQUEST	false	Trading club join panna amount kattunga. Market vizhundhaalum unga income koraiyadhu, full guarantee kudukrom.	Trading club full guarantee kuduthaalum market risk pogadhu. Idhu awareness discussion, deposit request illa.
Tanglish	credential	r-recovery-words	CREDENTIAL_REQUEST	true	Account recover panna nee save panna secret words list venum. Full list enakku anuppu naan login panren.	Save panna recovery secret words full list yaarukkum anuppadha. Adha vechu account access poidalaam.
Tanglish	ordinary_support	r-router-id	CREDENTIAL_REQUEST	false	Router reset help ku un internet bank password um kudu. Adha use panni technical check panrom.	Router model number keezha print pannirukkum adha sollu. Indha check ku bank password edhukku? Kudukka vendam.
Tanglish	benign_verification	r-login-notice	OTP_REQUEST	false	Login OTP vandhurukkum. Indha msg ku adha reply pannu, naanga login complete pannidrom.	Nee request panna login OTP vandhurukku. Un app la mattum podu; indha msg ku reply panna vendam.
