language	category	cluster_id	signals	implicit_request	safety_context	scam_text	safe_text
English	prize	prize-tax-advance	PAYMENT_REQUEST	false	true	Your phone number won our draw. Pay the prize tax directly to my wallet and I will release the winnings to you.	Do not send money to a private wallet to claim a prize. Check whether you entered the draw and contact the organizer independently.
English	fake_support	marketplace-login-approval	OTP_REQUEST	true	true	I handle seller support. Read back the approval number that popped up on your phone so I can remove your listing restriction.	Seller support cannot require the approval number from a login alert. Review listing restrictions inside the marketplace account yourself.
English	implicit_otp	console-signin-digits	OTP_REQUEST	true	false	I am pairing your console remotely. Tell me the six numbers in the sign-in notification, not the serial number printed on the box.	The six numbers on your console are for the sign-in you initiated. Type them into your own pairing screen; no reply to this notice is needed.
English	contradiction	auth-exclusive-recipient	OTP_REQUEST	true	true	Keep your login code away from everyone else; only send it to me because I am the assigned verifier.	Keep your login code away from everyone, including someone claiming to be the assigned verifier. No exception makes it safe to send.
English	credential_request	helpdesk-security-answers	CREDENTIAL_REQUEST	true	true	For this helpdesk reset, send your account password and the answers to the private recovery questions in one message.	The helpdesk can issue a reset link without collecting your password or private recovery answers. Do not include those in a ticket.
English	payment_request	water-disconnection	PAYMENT_REQUEST,URGENCY	false	false	Your water supply will be cut off this evening unless you pay the overdue amount to the mobile number in this message.	Your water bill is available in the utility portal. Check your account balance there and use the payment method listed on your bill.
English	investment	crypto-insider-pool	INVESTMENT_PROMISE,PAYMENT_REQUEST	false	true	Our insider crypto pool cannot lose. Deposit your savings with me and withdraw double the amount after the weekend.	An insider crypto pool promising to double savings can be fraudulent. Guaranteed profit claims do not remove investment risk.
English	job_scam	task-unfreeze-fee	PAYMENT_REQUEST	false	true	Your product-rating earnings are frozen. Top up the task wallet with your own money to unlock the withdrawal tier.	A task platform demanding new deposits to release earnings may be a scam. Do not keep topping up because a chat agent promises recovery.
English	implicit_otp	insurance-text-readback	OTP_REQUEST	true	false	I am finalizing your insurance discount. Read the temporary sign-in number from the text aloud to me while I keep the form open.	Your insurer sent a renewal reminder with a policy number. You can read the policy number to the official branch you called; it is not a login secret.
English	remote_access	remote-unattended-mode	REMOTE_ACCESS	false	true	Enable unattended access in the support app and give me the connection identifier so I can fix your laptop while you are away.	Turn off unattended access after an authorized support session. Do not give connection identifiers to callers you did not contact.
English	phishing	cloud-share-password	LINK_REQUEST,CREDENTIAL_REQUEST	false	false	The shared contract is locked until you confirm your email password on https://document-confirm.example. Use the same password as your mailbox.	The contract is in the shared work folder. Open your normal document app; this notification does not ask for your mailbox password.
English	bank_impersonation	bank-otp-cancellation	BANK_IMPERSONATION,OTP_REQUEST,URGENCY	false	true	Bank fraud desk here. Send the OTP immediately to cancel the transfer; withholding it will let the payment go through.	To report an unfamiliar transfer, call your bank through its app. An OTP given to a caller can authorize a payment instead of canceling one.
English	government_impersonation	tax-refund-personal	GOVERNMENT_IMPERSONATION,PAYMENT_REQUEST	false	false	I am the tax refund officer assigned to you. Pay my processing charge from your personal wallet to release the government refund.	Your tax refund status changed. Sign in through the official tax portal you normally use to review the update.
English	qr_fraud	qr-buyer-payment	PAYMENT_REQUEST	false	true	I want to buy your used bicycle. Scan this QR and approve the amount so my payment can reach you.	A buyer's payment should not require you to approve a debit. Do not scan a buyer's QR merely to receive money for your bicycle.
English	credential_request	school-account-password	CREDENTIAL_REQUEST	false	false	I administer the school portal. Reply with your child's account password so I can enroll them in the new class group.	The school portal class group is ready. Sign in yourself and select the new group; the teacher does not need the account password.
English	implicit_otp	ticket-login-expiry	OTP_REQUEST,URGENCY	true	true	The reservation is about to expire. Forward the verification number that arrived on your mobile so I can secure the seat from my computer.	Do not forward a mobile verification number to someone reserving a seat for you. Use the reservation app and enter the code there yourself.
English	remote_access	refund-screen-control	REMOTE_ACCESS,PAYMENT_REQUEST	false	true	For the refund, share full screen control and open your banking app. I will make a small transfer to check the refund route.	Refund support should not control your banking screen or make a test transfer. Keep financial apps closed during unrelated technical help.
English	contradiction	education-then-secret	OTP_REQUEST	true	true	Fraud awareness tip: never read codes to strangers. Since I am your approved agent, read the authentication number to me instead.	Fraud awareness tip: never read authentication numbers to strangers, even if they introduce themselves as your approved agent.
English	prize	game-reward-pin	CREDENTIAL_REQUEST	false	false	Your game reward is waiting. Tell the claim operator your banking PIN to connect the reward to your debit card.	Your game reward has been added to the game account. View it in your inventory; no banking details are needed.
English	phishing	developer-token-chat	CREDENTIAL_REQUEST,LINK_REQUEST	true	false	Build support needs your production access token. Paste it into https://build-helper.example so we can debug your deployment remotely.	Build support needs the error code from the failed test, with secrets removed. Do not paste production tokens into tickets or chat.
English	payment_request	landlord-hold-flat	PAYMENT_REQUEST,URGENCY	false	false	I cannot show you the flat until you send a viewing deposit to my wallet. Another tenant is waiting, so pay within five minutes.	The flat viewing is booked for Saturday. Meet the agent at the property; the appointment confirmation does not request payment.
Hinglish	implicit_otp	auth-mobile-repair	OTP_REQUEST	true	true	Repair booking activate karni hai. Phone pe code aaya hoga, uske six digit mujhe bhej do taaki main apne system me daal sakun.	Repair booking ke naam pe phone ka six digit code kisi ko mat dena. Apni booking official service app se check karo.
Hinglish	implicit_otp	auth-scholarship-number	OTP_REQUEST,URGENCY	true	false	Scholarship form abhi band ho raha hai, verification no bata do jldi, tumhare mobile pe aaya hai wohi chahiye.	Scholarship form ka acknowledgement number save kar lo. Status student portal pe milega, is message ka reply zaroori nahi.
Hinglish	implicit_otp	auth-tuition-login	OTP_REQUEST	true	true	Online class account main set kar deta hu. Jo chhe ank login wale SMS me aaye hain unhe yahan send karo.	Class account set karte waqt login SMS ke chhe ank teacher ko bhi mat bhejna. Khud apni screen pe enter karna.
Hinglish	implicit_otp	auth-wifi-activation	OTP_REQUEST,URGENCY	true	false	Wifi activation ke liye phone pe aya verification number bta do, warna aaj ka installation slot chala jayega.	Wifi installation ka slot kal subah hai. Technician router serial number dekhega; phone ka verification number nahi maangega.
Hinglish	implicit_otp	auth-pass-renewal	OTP_REQUEST	true	true	Travel pass renew karne ke liye code aya hoga. OTP nahi bol raha, bas message ke six digits send krdo.	Koi OTP naam na le aur sirf message ke six digits maange tab bhi share mat karna. Woh login code ho sakta hai.
Hinglish	implicit_otp	auth-clinic-registration	OTP_REQUEST	true	false	Clinic registration mere laptop pe khuli hai. Phone pe jo login number aaya use batao, main tumhari taraf se continue karunga.	Clinic registration number receptionist ko bata sakte ho. Phone pe aaya login code khud bharna, receptionist ko dene ki zaroorat nahi.
Hinglish	implicit_otp	auth-sim-reactivate	OTP_REQUEST,ACCOUNT_THREAT,URGENCY	true	true	SIM aaj band ho jayegi. Verifiction code bhejo jaldi, main operator ki screen pe tumhari line reactivate kar dunga.	SIM band hone ki dhamki dekar verifiction code maange to mat bhejo. Operator ke official store se khud baat karo.
Hinglish	implicit_otp	auth-library-digits	OTP_REQUEST	true	false	Digital library ka access approve karna hai. Phone ki notification me jo 6-digit login number dikha use mere chat me bhej do.	Digital library membership approve ho gayi. Apna member ID sambhal lo aur account me khud sign in karo.
Hinglish	implicit_otp	auth-loyalty-cashback	OTP_REQUEST	true	true	Cashback attach karne ko temporary number aaya hoga phone pe. Mujhe woh bata do, tumko kuch enter nahi karna padega.	Cashback ke liye temporary login number kisi agent ko dena theek nahi. Offer apne account ke rewards section me check karo.
Hinglish	implicit_otp	auth-insurance-upload	OTP_REQUEST	true	true	Policy ki copy bhejne se pehle authentication message ka number forward karo. Main tumhare account me jaake document nikaal dunga.	Policy copy chahiye to insurer ki app me khud login karo. Authentication message kisi ko forward mat karna.
Hinglish	contradiction	auth-exclusive-recipient	OTP_REQUEST	true	true	Code dusro ko bilkul mat dena, lekin assigned verifier main hu isliye sirf mere number pe send karo.	Assigned verifier bolne wale ko bhi code mat dena. Sirf mere number pe bhejo kehna safety advice nahi hota.
Hinglish	contradiction	bank-warning-exception	BANK_IMPERSONATION,OTP_REQUEST	false	true	Bank kabhi OTP nahi mangta, par fraud cancel desk ko exception hai. Main usi desk se hu, apna OTP mujhe batao.	Bank kabhi OTP nahi mangta. Fraud cancel desk ka exception batane wala caller bhi OTP lene ki koshish kar sakta hai.
Hinglish	credential_request	upi-pin-voice-check	CREDENTIAL_REQUEST	false	true	UPI voice verification pending hai. Jo PIN payment approve karte waqt dalte ho woh call pe bol do.	UPI PIN call pe bolna verification nahi hai. Payment approve karne wala PIN kisi ko mat batao.
Hinglish	credential_request	email-password-photo	CREDENTIAL_REQUEST	false	false	Email restore karne ke liye purana password kagaz pe likh ke photo bhejo. Chat me type karna allowed nahi hai.	Email restore karne ke liye official reset page kholo. Password kagaz pe likhne ya uski photo bhejne ki zaroorat nahi.
Hinglish	credential_request	atm-keypad-digits	CREDENTIAL_REQUEST	true	true	Card unblock karna hai. ATM pe jo char button dabate ho unke numbers ek ek karke mujhe bata do.	Card unblock karwane ke liye ATM PIN batana zaroori nahi. Char button wale numbers maangna bhi PIN maangna hi hai.
Hinglish	account_recovery	backup-codes-photo	OTP_REQUEST	true	true	Naya phone link kar dunga, bas recovery codes ki list ka screenshot bhej do. Purane device ki zaroorat nahi padegi.	Naye phone ke setup me recovery codes ki list ka screenshot support ko mat bhejna. List se koi aur bhi login kar sakta hai.
Hinglish	bank_impersonation	bank-cancel-transfer	BANK_IMPERSONATION,OTP_REQUEST,URGENCY	false	true	Bank security se bol raha hu. Transfer rokna hai to OTP abhi send krdo, delay hua to paisa nikal jayega.	Transfer rokne ke bahane OTP maange to call kaat do. Bank app me diye number par khud call karke complaint karo.
Hinglish	government_impersonation	police-identity-deposit	GOVERNMENT_IMPERSONATION,PAYMENT_REQUEST,URGENCY	false	false	Police verification me tumhara naam aaya hai. Abhi security deposit mere diye account me daalo warna arrest notice niklega.	Police verification appointment ka time portal pe diya hai. Documents lekar office aao; is notice me kisi private account ka payment nahi hai.
Hinglish	payment_request	electricity-wallet	PAYMENT_REQUEST,URGENCY	false	true	Bijli aaj raat cut hogi, meter verification ka paisa is wallet pe bhej do. Office jaane ka time nahi bacha.	Bijli cut hone ka message aaye to bill official app me check karo. Unknown wallet me meter verification fee mat bhejo.
Hinglish	upi	upi-refund-pin	PAYMENT_REQUEST	false	true	Refund receive karne ko collect request accept karo aur apna UPI PIN daal do. Debit dikhega par paisa wapas hi aa raha hai.	Collect request pe PIN dalne se debit ho sakta hai. Refund receive karne ke liye aisa approval mat do.
Hinglish	qr_fraud	qr-secondhand-buyer	PAYMENT_REQUEST	false	true	Tumhara sofa kharid raha hu. Meri payment lene ke liye yeh QR scan karke amount approve karo.	Sofa kharidne wala payment bhej sakta hai bina tumse QR scan karwaye. Paisa lene ke liye debit approve mat karo.
Hinglish	refund	refund-trial-transfer	PAYMENT_REQUEST	false	false	Order refund ka route check karna hai. Pehle mere account me chhota trial transfer bhejo, uske baad full refund milega.	Order refund original payment method par process ho gaya. Bank statement me credit aane tak wait karo, trial transfer nahi chahiye.
Hinglish	investment	gold-fixed-return	INVESTMENT_PROMISE,PAYMENT_REQUEST	false	true	Hamare private gold plan me loss hota hi nahi. Aaj deposit karo aur har din fixed return lo, principal guaranteed hai.	Gold plan me har din fixed return aur zero loss ka promise suspicious hai. Sirf chat ke bharose savings mat lagao.
Hinglish	crypto	wallet-seed-support	CREDENTIAL_REQUEST	false	true	Wallet balance show nahi ho raha to recovery ke barah words bhejo. Support team phrase se sync theek kar degi.	Wallet ke barah recovery words support ko bhi mat bhejo. Phrase dene se account ka control kisi aur ko mil sakta hai.
Hinglish	job_scam	job-registration-charge	PAYMENT_REQUEST	false	false	Interview ki zaroorat nahi, job confirm hai. Offer letter bhejne se pehle recruiter ke personal UPI pe registration charge pay karo.	Interview ka invite email par bheja hai. Company se role aur address verify kar lena; interview ke liye payment nahi maanga gaya.
Hinglish	delivery	parcel-card-page	LINK_REQUEST,CREDENTIAL_REQUEST	false	false	Parcel address incomplete hai, https://parcel-update.example kholo aur card number CVV bhar do tabhi reattempt hoga.	Parcel ke address me landmark missing hai. Apne original order page se landmark update kar do, card details dobara nahi chahiye.
Hinglish	remote_access	remote-ticket-id	REMOTE_ACCESS	true	true	Support app kholo, usme connection number jo dikhe bata do aur full control allow kar do. Main tumhara phone operate karunga.	Support app ka connection number caller ko dene se remote control mil sakta hai. Unknown call pe full control allow mat karo.
Hinglish	tech_support	laptop-bank-test	REMOTE_ACCESS,CREDENTIAL_REQUEST	false	true	Laptop clean karne ko screen control do aur banking password chat me bhejo. Account se test karke virus hata denge.	Laptop clean karne wale ko banking password ki zaroorat nahi. Screen control aur password ek saath maangna risky hai.
Hinglish	kyc	kyc-short-link	IDENTITY_VERIFICATION,LINK_REQUEST,CREDENTIAL_REQUEST	false	false	KYC approve karwane ko https://kyc-desk.example par banking login aur password daal do. Ye bank ka alternate server hai.	KYC documents update karne ka reminder hai. Bank ki apni app ya branch use karo, naye message wale link par login mat karo.
Hinglish	family_emergency	brother-phone-broken	PAYMENT_REQUEST,URGENCY	false	false	Bhai mera phone toot gaya isliye naya number hai. Abhi emergency me dost ke account me paisa bhej, call nahi kar sakta.	Bhai ka phone repair me hai. Ghar ke number par call karke shaam ka plan confirm kar lena; paise nahi maange hain.
Hinglish	prize	lottery-release-tax	PAYMENT_REQUEST	false	true	Tumhara number lottery me select hua. Prize release karne ka tax mere UPI pe bhejo phir winning amount aa jayega.	Lottery jeetne ke message par tax kisi ke UPI pe mat bhejo. Bina entry ke prize claim ko pehle verify karo.
Hinglish	fake_support	seller-deactivate-code	OTP_REQUEST,ACCOUNT_THREAT	true	true	Seller account disable hone wala hai. Mobile pe jo verification number aya hoga mujhe bhejo, main restriction hata dunga.	Seller account ka verification number kisi support chat ko mat dena. Restriction official seller dashboard me check kar sakte ho.
Hinglish	job_scam	rating-task-topup	PAYMENT_REQUEST	false	true	Review task ki earning withdraw karni hai to pehle wallet top up karo. Negative balance clear hoga tab paisa unlock hoga.	Task earning unlock karne ke liye baar baar top up maangna scam ka sign hai. Apna aur paisa daalne se ruk jao.
Hinglish	government_impersonation	tax-clearance-wallet	GOVERNMENT_IMPERSONATION,PAYMENT_REQUEST	false	false	Tax department ka agent hu. Refund file clear karne ki fees mere wallet me jama karwa do.	Tax refund file ka status official portal pe update hua hai. Login karke notice padho aur registered office se clarification lo.
Hinglish	implicit_otp	auth-donation-receipt	OTP_REQUEST	true	false	Donation receipt nikaalne ke liye login SMS ke numbers read kar do. Main tumhare portal session me receipt download kar raha hu.	Donation receipt ke liye transaction reference share kar sakte ho. Login SMS ke numbers receipt number se alag hote hain.
Hinglish	implicit_otp	auth-gym-membership	OTP_REQUEST,URGENCY	true	true	Gym app ki membership activate kar raha hu. Code aya hoga phone pe, bhejo jldi nahi to verification expire ho jayega.	Gym membership activate karte waqt verification expire ho bhi jaye to code kisi ko mat dena. Apni app me naya code mangwa sakte ho.
Hinglish	implicit_otp	auth-tv-subscription	OTP_REQUEST	true	false	TV subscription link karne ke liye six digit number batao jo phone par aaya. Main apne browser me bhar deta hu.	TV par dikh raha pairing code apni subscription app me khud enter karo. Customer care ko phone ka sign-in number nahi chahiye.
Hinglish	implicit_otp	auth-train-waitlist	OTP_REQUEST,URGENCY	true	true	Waitlist confirm ho sakti hai bas verification no send karo jaldi. Number tumhare mobile ke naye message me hai.	Waitlist confirm karne ke naam par verification no mat bhejna. Train booking ka status official booking account me dekho.
Hinglish	contradiction	auth-no-strangers-agent	OTP_REQUEST	true	true	Strangers ko login number mat batana. Main tumhara personal agent hu, isliye notification me aaye numbers mujhe read kar do.	Personal agent bolne se koi trusted nahi ho jata. Notification me aaye login numbers strangers aur agents dono se private rakho.
Hinglish	credential_request	card-reward-cvv	CREDENTIAL_REQUEST	false	false	Reward points cash me convert karwa dunga. Card ka CVV aur expiry chat me type karo, card photo ki zaroorat nahi.	Reward points bank app ke rewards tab me dikhte hain. Is reminder ka jawab dene ya CVV share karne ki zaroorat nahi.
Hinglish	remote_access	remote-refund-unattended	REMOTE_ACCESS	false	true	Refund kal process karenge, tab tak support app me unattended access on rakho. Permission dobara maangne ki zaroorat nahi hogi.	Refund ke liye unattended access on rakhna zaroori nahi. Support session khatam ho to remote access permission hata do.
Hinglish	investment	crypto-double-weekend	INVESTMENT_PROMISE,PAYMENT_REQUEST	false	false	Mere crypto pool me paisa bhej, weekend tak double guaranteed milega. Market gire tab bhi tumhara profit fixed hai.	Crypto market me prices badal rahe hain. Yeh news update hai, isme koi fixed return ya deposit karne ki recommendation nahi hai.
Hinglish	phishing	work-login-mirror	LINK_REQUEST,CREDENTIAL_REQUEST	false	true	Office login mirror https://staff-check.example par password daalo. IT team ne main portal band kar diya hai.	Office password kisi message ke mirror portal me mat daalo. IT helpdesk ko saved contact se confirm karo.
Hinglish	payment_request	room-viewing-deposit	PAYMENT_REQUEST,URGENCY	false	false	Room dikhane se pehle token mere wallet pe bhejo. Dusra tenant ready hai, paanch minute me payment chahiye.	Room dekhne ka time Sunday ko hai. Address aur agent ka number confirm kar lo; viewing ke liye token nahi manga gaya.
Hinglish	implicit_otp	auth-number-not-otp	OTP_REQUEST	true	true	OTP shabd se confuse mat ho, login wale text me jo temporary ank aaye woh mere chat pe copy kar do.	Koi OTP ki jagah temporary ank bole tab bhi login text copy karke mat bhejna. Naam badalne se secret public nahi hota.
Hinglish	implicit_otp	auth-claim-expired	OTP_REQUEST,URGENCY	true	false	Claim verification ke liye phone pe aaya 6 digit number chahiye. Bta do abhi, iske expire hone se file dobara shuru hogi.	Claim file number aur document list email me hai. Claim status dekhne ke liye apne account me login karo.
Hinglish	contradiction	auth-training-live-code	OTP_REQUEST	true	true	Training me sikhaate hain ki code kisi ko nahi dena. Aaj live demo ke liye apna asli authentication number mujhe bhej do.	Training me dummy code use karo. Live demo ke naam par bhi apna asli authentication number kisi ko mat bhejo.
Hinglish	qr_fraud	qr-parking-reversal	PAYMENT_REQUEST	false	true	Parking ka extra charge wapas lena hai to QR scan karo aur PIN daalo. Screen pe pay likha aaye to bhi approve karna.	Parking refund ke naam par pay screen approve mat karo. Extra charge ki complaint receipt ke saath official counter pe karo.
Hinglish	government_impersonation	court-video-fine	GOVERNMENT_IMPERSONATION,PAYMENT_REQUEST,URGENCY	false	true	Court online hearing chal rahi hai. Call mat kaatna, turant fine mere bataye account me jama karo nahi to warrant lagega.	Court ka naam lekar video call par turant private account me fine maangna suspicious hai. Official court contact se notice verify karo.
Hinglish	implicit_otp	auth-admission-seat	OTP_REQUEST	true	true	Admission portal mere paas open hai. Verifiction number aaya hoga, use send krdo taaki seat tumhare naam se lock kar du.	Admission seat ke liye portal ka verifiction number agent ko mat send karo. Apne login me khud process complete karo.
Tanglish	implicit_otp	auth-mobile-repair	OTP_REQUEST	true	true	Service booking activate panna phone la code vandhirukkum. Andha six digit number enakku anuppunga, naan system la podaren.	Service booking nu solli phone la vandha six digit number ketta anuppa vendam. Official app la neengale booking check pannunga.
Tanglish	implicit_otp	auth-college-fee-receipt	OTP_REQUEST	true	false	College receipt edukka unga login notification la vandha aaru numbers sollunga. Unga account la naan receipt download panren.	College receipt ku transaction reference podhum. Login notification number vera; adhai neengale unga screen la enter pannunga.
Tanglish	implicit_otp	auth-broadband-slot	OTP_REQUEST,URGENCY	true	true	Broadband slot mudiyapogudhu. Mobile ku vandha verification number seekiram sollunga, installer account la naan approve panren.	Broadband slot mudiyum nu sonnalum verification number solla vendam. Provider app la installation status paarunga.
Tanglish	implicit_otp	auth-ticket-seat	OTP_REQUEST,URGENCY	true	false	Seat reserve panna phone message la six digits vandhirukkum. Adha ippo en chat ku anuppunga, time mudinja booking poidum.	Ticket reference number receipt la irukku. Booking status adha vechu official site la paarkalam; login digits share panna thevai illa.
Tanglish	implicit_otp	auth-health-appointment	OTP_REQUEST	true	true	Hospital appointment naan fix panren. Phone la vandha temporary sign-in number ah padichu sollunga, naan form complete panren.	Hospital appointment ku sign-in number ah caller kitta padichu solla vendam. Neenga open panna portal la mattum enter pannunga.
Tanglish	implicit_otp	auth-tv-subscription	OTP_REQUEST	true	false	TV subscription link panna unga mobile ku vandha verification no venum. Enakku anuppunga, en browser la connect panren.	TV pairing ah unga subscription app la neengale seiyunga. Indha reminder ku phone verification no reply panna vendam.
Tanglish	implicit_otp	auth-reward-claim	OTP_REQUEST	true	true	Reward credit panna phone la oru login alert vandhirukkum. Adhula irukkura aaru ilakka number enakku sollunga.	Reward credit nu solli login alert number ketta solla vendam. Reward details account oda rewards page la irukkum.
Tanglish	implicit_otp	auth-school-app	OTP_REQUEST	true	false	School app account naan setup panren. Unga phone ku vandha authentication number inga copy panni anuppunga.	School app setup instructions email la irukku. Teacher ku account password alladhu authentication number anuppa thevai illa.
Tanglish	implicit_otp	auth-number-not-otp	OTP_REQUEST	true	true	OTP kekkala, unga phone message la vandha temporary six numbers mattum sollunga. Adha vechu login finish panniduven.	OTP nu sollama temporary six numbers nu ketta kooda share panna vendam. Login finish panna use aagura secret adhu.
Tanglish	contradiction	auth-exclusive-recipient	OTP_REQUEST	true	true	Indha code yaarukkum solladheenga, naan assigned verifier naala enakku mattum anuppunga.	Assigned verifier nu sonnaalum code yaarukkum anuppa vendam. Enakku mattum nu ketpadhum code request dhaan.
Tanglish	credential_request	upi-pin-voice-check	CREDENTIAL_REQUEST	false	true	UPI account verify panna payment approve pannumbodhu podra PIN ah call la sollunga. Naan voice check complete panren.	UPI PIN ah phone call la solla vendam. Voice verification ku payment PIN thevai kidaiyadhu.
Tanglish	credential_request	email-migration-secret	CREDENTIAL_REQUEST	false	false	Mail server maatharom. Unga current email password enakku message pannunga, naan mailbox migrate panren.	Mail migration mudinjadhu. Unga usual company portal la neengale sign in pannunga; support ku password anuppa vendam.
Tanglish	credential_request	card-points-cvv	CREDENTIAL_REQUEST	false	true	Card points cash aaga convert panna CVV um ATM PIN um inga type pannunga. Bank branch pogave thevai illa.	Reward points cash aaga maatharom nu solli CVV alladhu ATM PIN ketta kudukka vendam. Bank oda app la offer check pannunga.
Tanglish	account_recovery	backup-codes-photo	OTP_REQUEST	true	true	Pudhu phone account la add panna recovery code list oda photo anuppunga. Pazhaya phone illamalum naan login panniduven.	Recovery code list oda photo support ku anuppa vendam. Andha list vechu vera aal unga account la login panna mudiyum.
Tanglish	bank_impersonation	bank-cancel-transfer	BANK_IMPERSONATION,OTP_REQUEST,URGENCY	false	true	Bank fraud team la irundhu pesaren. Transfer stop panna OTP udane sollunga, delay aana amount poidum.	Transfer stop panna OTP sollanum nu bank caller ketta call cut pannunga. Official bank number ku neengale call pannunga.
Tanglish	government_impersonation	customs-private-fine	GOVERNMENT_IMPERSONATION,PAYMENT_REQUEST,URGENCY	false	false	Customs officer pesaren, unga parcel mela case irukku. Ippo indha personal wallet ku fine pay pannunga illana arrest process start aagum.	Parcel customs declaration pending nu notice vandhirukku. Carrier account la details paarthu official office kitta verify pannunga.
Tanglish	payment_request	water-disconnection	PAYMENT_REQUEST,URGENCY	false	true	Innikku evening water connection cut aagum. Meter clearance fee ah indha mobile wallet ku seekiram anuppunga.	Water connection cut aagum nu message vandha official bill check pannunga. Unknown mobile wallet ku clearance fee anuppa vendam.
Tanglish	upi	upi-refund-pin	PAYMENT_REQUEST	false	true	Refund receive panna collect request accept panni UPI PIN podunga. Debit nu kaattinaalum credit aagidum.	Collect request accept pannina debit aagalam. Refund receive panna UPI PIN pottu debit approve panna vendam.
